"title","description","date","location","price","type","condition","image","duration","id"
"Yoga for Stress Relief","A weekend retreat focused on yoga and meditation to relieve stress.","1692921600","Goa","200","Signature","Stress Relief","https://cdn.midjourney.com/a287f9bc-d0fb-4e78-a0fa-e8136d3c408a/0_0.jpeg","3","1"
"Flexibility Improvement Workshop","A 5-day workshop designed to improve flexibility through yoga.","1694304000","Rishikesh","500","Standalone","Flexibility Improvement","https://cdn.midjourney.com/4eef5d57-1601-4b80-8e82-523003e9f95d/0_0.jpeg","5","2"
"Weight Loss Retreat","A 7-day retreat focused on weight loss through yoga and diet.","1696118400","Kerala","700","Signature","Weight Loss","https://cdn.midjourney.com/bc82ebc6-a3a4-4eda-be0b-bb3e65d4b8d3/0_1.jpeg","7","3"
"General Fitness Yoga Camp","A 3-day yoga camp to enhance overall fitness and well-being.","1694736000","Mumbai","300","Standalone","General Fitness","https://cdn.midjourney.com/930ec767-aa6d-46e6-92a6-f019a9718304/0_3.jpeg","3","4"
"Chronic Pain Management","A weekend retreat to manage chronic pain through specialized yoga techniques.","1700438400","Delhi","250","Signature","Chronic Pain Management","https://cdn.midjourney.com/5b0cec06-2f37-4828-8602-316f6dbd0eb6/0_0.jpeg","2","5"
"Mental Wellness Retreat","A 4-day retreat focused on mental wellness through yoga and meditation.","1701734400","Pune","400","Standalone","Mental Wellness","https://cdn.midjourney.com/32923aeb-db8c-4c27-8e9d-fb82928b7fc1/0_2.jpeg","4","6"
"Pre/Post-Natal Yoga","A specialized yoga program for pre and post-natal women.","1693872000","Chennai","350","Standalone","Pre/Post-Natal","https://cdn.midjourney.com/1bf1a655-289a-48e4-a156-0dde0cf1b7ce/0_1.jpeg","3","7"
"Detox Retreat","A 5-day detox retreat to cleanse the body and mind.","1699574400","Hyderabad","550","Signature","Detox","https://cdn.midjourney.com/873b60f7-f026-40f9-b2d7-184e981ee1f5/0_3.jpeg","5","8"
"Spiritual Growth Retreat","A 7-day retreat focusing on spiritual growth through yoga and meditation.","1702598400","Varanasi","800","Signature","Spiritual Growth","https://cdn.midjourney.com/e0dba42d-84bc-45e6-acca-bbaf8f817371/0_1.jpeg","7","9"
"General Fitness Yoga Camp","A 3-day yoga camp to enhance overall fitness and well-being.","1695168000","Kolkata","350","Standalone","General Fitness","https://cdn.midjourney.com/5d5f32ef-c40a-4258-9856-85db2f4f943a/0_0.jpeg","3","10"
"Yoga Event 11","A description for Yoga Event 11.","1723566880","Pune","704","Signature","Chronic Pain Management","https://cdn.midjourney.com/ec4680e8-d074-4a69-a24b-3d3f3946907b/0_2.jpeg","10","11"
"Yoga Event 12","A description for Yoga Event 12.","1725678184","Chennai","376","Signature","Chronic Pain Management","https://cdn.midjourney.com/02d7f36d-ba93-4850-b555-3ede5a22eca8/0_0.jpeg","7","12"
"Yoga Event 13","A description for Yoga Event 13.","1734745782","Delhi","737","Signature","Detox","https://cdn.midjourney.com/6eb2d2b3-eb07-427a-89f1-b5ac2df1c8f1/0_2.jpeg","4","13"
"Yoga Event 14","A description for Yoga Event 14.","1734056561","Chennai","107","Standalone","Mental Wellness","https://cdn.midjourney.com/e6c8452a-af8e-4cd3-b15a-c3dcf2a696a5/0_3.jpeg","7","14"
"Yoga Event 15","A description for Yoga Event 15.","1729939908","Rishikesh","882","Signature","Detox","https://cdn.midjourney.com/30ee2214-0810-4e17-aa5e-0c2edc1b4354/0_0.jpeg","10","15"
"Yoga Event 16","A description for Yoga Event 16.","1725472451","Delhi","311","Signature","Flexibility Improvement","https://cdn.midjourney.com/2f9daef3-406b-4266-835e-a07fb09b4820/0_0.jpeg","relaxation","3","16"
"Yoga Event 17","A description for Yoga Event 17.","1734972658","Goa","555","Standalone","Mental Wellness","https://cdn.midjourney.com/2f72aafd-e2f2-4bec-8afc-80877aa4634f/0_0.jpeg","6","17"
"Yoga Event 18","A description for Yoga Event 18.","1727628942","Goa","414","Standalone","Stress Relief","https://cdn.midjourney.com/873b60f7-f026-40f9-b2d7-184e981ee1f5/0_3.jpeg","2","18"
"Yoga Event 19","A description for Yoga Event 19.","1732255454","Rishikesh","219","Standalone","Mental Wellness","https://cdn.midjourney.com/e0dba42d-84bc-45e6-acca-bbaf8f817371/0_1.jpeg","7","19"
"Yoga Event 20","A description for Yoga Event 20.","1725581902","Varanasi","142","Signature","Stress Relief","https://cdn.midjourney.com/5d5f32ef-c40a-4258-9856-85db2f4f943a/0_0.jpeg","2","20"
"Prachi Yoga  Event in pune Organised by usman please visit here","when you will visit i'll tell the description.","1725581902","pune","101","Signature","Stress Relief","https://images.pexels.com/photos/802417/pexels-photo-802417.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1","3","21"
"Prashant Yoga  Event in Agra Organised by vishal please visit here","Organized by Vishal, this event invites you to experience the profound benefits of yoga in the beautiful city of Agra. Join us for a rejuvenating session that aims to harmonize mind, body, and spirit.","1723581502","Agra","101","Signature","Stress Relief","https://images.pexels.com/photos/4078093/pexels-photo-4078093.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1","5","22"
